7,0,2,2,8,3,0,1,0,2,1,3,1,5,3,0,0,5,4,31,1,0,0,1,1,4,0,6,3,5,4,3,5,5,2,2,4,3,5,2,1,1,3,1,3,0,0,1
3,3,2,1,2,3,5,7,1,2,2,2,2,0,0,4,1,2,3,27,1,0,0,0,5,0,0,1,7,2,4,4,1,3,5,2,3,3,3,1,5,4,3,2,3,1,1,1
7,3,1,2,6,2,5,7,1,1,2,2,0,0,0,4,3,5,3,50,2,0,3,0,5,9,3,6,5,1,4,4,5,5,4,2,5,5,1,2,5,4,3,4,3,0,0,1
4,4,0,3,9,3,0,2,1,3,2,3,2,5,3,1,4,5,2,31,0,0,4,0,0,1,7,0,8,0,8,9,0,5,0,3,5,5,4,2,0,0,3,3,3,0,0,0
2,1,2,1,0,2,1,4,1,1,3,1,1,2,1,2,1,1,2,15,1,2,2,1,3,6,3,5,4,3,7,4,4,3,3,1,1,3,4,2,4,2,3,2,3,0,0,4
0,3,0,1,10,0,0,0,1,1,0,5,1,5,5,0,4,1,3,1,3,1,0,3,2,4,8,2,4,0,7,4,2,5,2,2,3,5,4,4,3,1,3,3,3,0,0,3
3,2,2,1,6,4,6,7,1,3,1,5,2,0,0,4,4,3,2,58,3,2,1,0,5,6,5,5,4,0,3,3,4,4,3,4,0,5,4,0,6,2,3,2,3,1,2,3
5,3,1,3,6,2,4,7,1,2,3,2,1,0,0,4,4,5,1,31,1,1,3,0,5,4,1,4,8,2,8,9,4,5,3,2,4,6,4,3,7,3,3,5,1,0,0,1
7,0,2,2,5,3,3,6,1,1,2,1,1,0,0,4,2,5,4,39,5,1,0,0,4,5,1,6,7,0,8,8,6,5,5,4,4,3,3,0,2,4,2,2,3,2,5,2
2,1,1,0,5,2,1,2,1,1,0,4,2,4,4,1,1,0,3,11,1,0,0,5,6,3,6,2,3,0,8,4,2,3,6,3,5,4,3,0,3,7,3,1,3,1,2,0
7,0,0,1,0,3,7,8,1,3,3,2,1,0,0,5,2,5,3,16,1,1,4,0,6,7,7,5,6,2,8,7,5,7,3,5,4,5,2,0,7,2,3,4,3,2,5,1
6,2,1,2,8,1,3,4,1,3,1,5,3,3,3,3,2,5,3,43,2,0,2,0,2,5,3,4,5,0,8,6,4,5,2,2,5,4,1,0,6,1,3,1,3,0,1,0
1,1,1,1,3,1,0,2,1,2,2,3,1,4,3,1,2,4,3,55,3,0,1,2,2,1,4,1,0,0,8,1,0,5,3,3,1,1,2,0,6,1,3,4,3,2,4,3
2,2,0,1,10,0,0,0,1,1,0,5,1,6,5,0,2,1,1,30,1,2,1,5,3,5,0,6,3,0,8,4,5,2,5,2,4,3,3,1,5,4,3,1,3,1,1,1
8,4,1,3,0,1,2,7,1,2,5,1,2,0,0,4,3,6,3,28,4,2,0,0,5,9,4,6,2,0,8,3,5,4,5,3,5,5,4,1,4,6,3,2,3,0,0,0
6,2,0,2,7,1,1,3,1,3,1,5,2,4,4,2,1,5,3,46,4,2,0,4,5,1,1,1,7,1,5,5,1,3,4,2,5,5,4,2,1,4,3,3,3,0,0,0
6,1,0,1,1,2,3,6,1,3,2,4,2,0,0,4,3,4,3,25,2,1,4,0,4,3,4,2,2,0,8,3,1,3,5,2,0,4,2,1,4,5,3,1,3,0,1,5
4,4,0,3,10,0,2,4,1,2,1,5,1,1,1,2,1,3,3,34,4,2,0,1,4,1,3,1,2,2,8,3,0,0,4,2,4,5,2,4,5,4,3,1,3,0,0,2
4,4,1,1,9,0,1,1,1,1,0,5,1,5,5,1,4,3,0,65,5,2,5,5,5,4,0,6,4,0,8,5,5,4,1,0,0,7,2,4,0,1,3,6,0,0,0,2
3,4,0,2,9,2,4,5,1,3,1,5,3,2,2,3,0,3,4,44,2,1,2,1,5,9,1,6,4,2,8,5,5,5,3,3,5,5,3,3,3,2,3,2,3,0,1,0
3,2,2,1,6,3,0,1,1,1,1,2,1,4,2,0,2,3,1,15,1,1,4,1,1,3,2,3,5,0,8,6,3,4,0,1,1,4,3,3,0,0,3,3,2,0,0,3
2,4,1,0,7,4,2,2,1,2,0,5,2,4,4,1,3,2,3,25,3,2,0,4,5,4,4,3,4,0,8,5,3,3,3,2,5,7,2,4,6,4,3,4,0,0,0,0
2,0,0,0,4,1,0,1,1,1,0,5,1,4,4,1,4,2,1,58,3,1,0,1,1,9,3,6,3,0,5,3,5,4,2,2,5,3,4,1,4,1,3,3,3,0,1,1
2,0,2,0,9,3,1,0,1,2,0,4,1,6,4,0,4,2,3,7,3,1,0,4,2,5,3,4,6,0,8,7,4,4,2,2,4,3,1,2,1,1,3,2,3,1,2,1
4,1,0,2,1,0,0,4,1,2,3,3,2,2,2,3,1,3,4,61,2,2,0,2,5,8,8,5,5,3,5,4,4,5,3,4,4,6,2,2,0,3,3,4,3,0,1,3
5,2,0,2,10,4,5,6,1,2,0,5,2,0,0,4,0,4,4,24,2,2,0,0,4,7,7,5,0,3,4,0,3,3,5,3,2,5,6,2,1,6,3,2,3,0,0,3
0,3,1,1,2,4,1,4,1,2,2,3,2,3,3,3,3,0,1,54,2,2,4,3,6,9,5,6,7,0,8,8,6,4,3,2,3,7,4,4,7,5,3,4,0,0,0,1
2,1,2,0,9,1,0,0,1,1,0,5,1,5,5,0,1,1,3,46,5,1,5,2,1,2,8,0,8,1,6,7,0,4,1,4,2,5,5,1,6,1,3,3,3,1,2,3
7,4,1,3,5,3,7,8,1,2,3,1,1,0,0,5,3,5,4,9,1,2,5,0,6,3,3,3,4,0,8,5,3,4,4,5,0,4,4,0,7,3,3,2,3,2,4,3
3,3,1,1,2,1,2,4,1,2,2,3,2,2,2,3,0,2,4,65,5,0,6,0,2,1,0,2,8,5,5,6,2,4,3,3,3,4,2,0,5,2,3,1,3,1,3,3
8,4,1,2,10,2,5,6,1,2,0,5,2,1,1,4,3,6,3,10,3,0,0,2,7,3,3,3,4,0,7,4,2,5,3,3,5,7,2,4,1,4,3,5,1,0,0,0
7,1,0,3,7,2,5,8,1,2,2,3,2,0,0,5,4,6,2,11,1,0,4,0,7,6,4,5,3,1,8,4,4,3,2,3,4,7,3,4,7,2,3,4,1,0,0,2
6,3,2,1,10,2,6,6,1,3,0,6,3,1,1,4,2,5,3,58,3,1,0,1,6,1,2,1,5,0,5,4,1,4,4,4,2,5,3,0,3,4,3,4,3,1,3,3
4,2,2,2,7,0,1,3,1,2,1,5,1,3,4,2,3,4,3,10,3,1,0,4,6,7,7,5,4,1,6,4,4,5,5,3,1,4,3,0,6,5,3,2,3,1,2,4
1,4,0,2,10,2,4,5,1,2,0,5,1,1,1,3,3,3,4,13,4,1,1,1,5,5,0,6,6,1,8,7,6,3,4,4,5,6,4,1,4,5,3,3,3,0,0,1
8,0,1,1,4,2,4,6,1,2,1,4,1,0,0,4,2,6,3,24,4,1,0,0,4,5,4,4,1,2,5,1,2,2,5,4,2,5,6,1,4,6,3,0,3,1,1,2
6,1,2,2,10,1,3,4,1,3,0,6,2,3,3,3,1,6,4,21,2,0,2,2,4,2,0,3,4,2,8,5,3,8,3,6,0,4,2,0,2,2,3,2,3,1,1,5
3,3,2,1,1,3,7,8,1,2,2,2,0,0,0,5,1,2,4,31,1,1,2,0,6,4,4,3,1,1,8,2,2,5,5,4,1,6,4,2,0,7,3,2,3,0,0,5
2,0,1,1,5,3,1,2,1,1,1,2,1,4,2,1,4,1,0,39,6,0,1,0,0,4,7,2,6,1,8,7,2,6,0,1,0,5,3,4,3,0,3,3,1,0,0,4
5,0,2,2,7,1,1,3,1,2,1,4,1,3,3,2,2,4,4,37,3,1,6,0,1,6,5,5,0,2,8,1,3,4,3,3,5,5,3,2,6,2,3,2,3,0,1,0
8,0,0,2,4,0,1,4,1,1,2,3,1,1,1,2,2,5,3,49,1,2,0,1,3,0,5,0,3,1,5,3,0,4,4,3,4,6,4,4,5,5,3,1,2,0,0,1
6,0,2,3,2,2,7,8,1,3,4,2,1,0,0,5,1,5,3,31,1,0,0,0,7,7,1,6,6,0,5,5,5,5,3,3,2,6,4,3,3,3,3,4,2,0,0,3
0,4,0,0,10,0,0,0,1,1,0,5,0,4,4,0,0,0,2,21,2,0,0,5,4,2,7,1,6,6,4,4,1,7,1,4,0,8,3,4,2,2,3,4,0,0,0,4
7,3,2,3,8,2,4,7,1,3,2,4,2,0,0,4,0,6,4,53,2,1,6,0,5,3,3,3,0,1,8,1,2,3,5,3,1,7,3,4,2,8,3,1,1,0,0,5
8,3,2,1,2,4,5,7,1,2,2,3,1,0,0,4,1,6,3,18,3,2,0,0,5,1,8,0,7,1,8,8,0,5,4,2,5,6,3,4,7,5,3,4,1,0,0,0
3,2,2,2,10,0,0,1,1,2,0,6,1,5,5,1,2,3,2,12,4,0,0,3,3,7,0,6,0,1,8,1,4,4,1,3,5,8,3,4,3,2,3,3,0,0,0,1
6,2,1,2,2,4,7,8,1,3,3,3,3,0,0,5,0,5,4,51,2,1,0,0,6,7,5,6,7,4,7,7,6,4,4,3,4,6,4,3,4,5,3,3,2,0,0,2
7,0,1,2,1,1,2,6,1,1,3,2,1,0,0,4,3,6,3,20,1,2,1,0,4,5,8,3,5,0,8,6,3,3,5,5,5,4,2,0,3,5,3,1,3,2,4,1
1,3,0,3,2,1,3,7,1,2,4,1,1,0,0,4,3,4,2,12,4,1,0,0,5,3,4,2,2,0,8,3,1,4,2,2,3,7,3,4,7,3,3,3,0,0,0,2
3,0,2,1,6,3,0,1,1,2,1,3,1,4,3,0,1,2,1,46,4,1,5,0,0,9,4,6,4,2,8,5,5,4,1,1,5,4,5,3,7,0,3,2,2,0,0,0
0,0,2,1,4,0,0,2,1,1,1,4,1,4,4,1,2,0,1,10,2,2,4,4,4,0,4,0,7,0,8,8,0,4,2,1,2,5,3,4,3,2,3,3,1,0,0,2
7,2,2,2,10,3,3,4,1,2,0,4,1,1,1,2,4,6,3,10,2,1,3,0,2,9,3,6,2,3,5,2,4,5,3,4,1,4,3,0,4,2,3,1,3,1,4,2
1,2,0,1,3,3,1,3,1,2,2,2,2,3,2,2,3,2,3,0,2,0,4,0,1,3,7,2,8,1,8,8,2,3,0,2,1,4,2,1,5,0,3,2,3,0,1,3
2,2,1,1,2,2,1,4,1,1,2,2,1,1,1,2,2,1,2,9,1,1,0,1,3,8,8,5,8,0,6,7,5,4,2,2,1,6,4,4,1,2,3,1,1,0,0,2
8,1,2,2,6,1,4,6,1,1,2,3,1,0,0,4,3,5,3,20,1,0,0,0,4,8,8,5,8,0,8,8,5,3,4,5,4,7,2,2,3,6,3,1,3,0,1,1
2,1,0,1,9,0,0,0,1,1,0,5,1,6,5,0,3,2,2,9,1,0,1,0,0,1,7,0,1,3,8,2,0,4,0,3,5,6,4,3,2,0,3,2,2,0,0,0
2,1,1,0,7,4,2,2,1,2,0,5,2,5,5,2,3,1,3,41,4,1,2,4,5,7,3,6,6,1,7,6,6,4,7,2,5,4,3,1,7,8,3,1,3,0,0,0
4,1,0,2,9,1,3,4,1,2,1,4,2,2,2,3,4,5,3,45,2,0,6,0,2,6,4,5,4,2,5,4,4,5,2,5,1,2,2,0,5,1,3,3,3,2,2,3
7,3,2,1,3,0,1,3,1,1,2,3,1,3,3,2,0,6,4,52,4,1,0,3,5,3,7,2,0,7,4,0,0,4,1,4,2,7,4,3,3,2,3,3,2,0,0,2
2,1,2,1,7,0,0,1,1,1,0,5,1,4,4,1,2,1,4,15,1,1,3,3,2,8,2,6,8,0,6,7,6,4,3,6,4,4,3,0,0,2,3,1,3,1,2,1
6,0,1,2,2,3,7,8,1,3,3,2,3,0,0,5,4,6,3,23,4,1,0,0,6,2,5,1,3,0,7,4,1,5,3,1,5,7,5,4,6,4,3,3,0,0,0,0
0,0,1,1,9,1,1,1,1,2,0,5,3,7,5,1,1,0,1,31,1,0,0,9,8,8,1,6,4,4,8,5,5,5,3,1,4,6,4,4,1,3,3,6,0,0,0,2
7,2,0,4,5,4,5,8,1,2,4,1,2,0,0,5,0,6,3,13,5,1,0,0,6,6,4,5,5,3,7,5,5,4,4,4,3,5,5,0,7,4,3,3,3,1,2,2
1,1,1,2,2,2,3,6,1,2,3,2,1,0,0,4,3,3,1,17,2,2,4,0,4,6,8,3,8,4,6,7,3,6,1,2,0,6,2,4,7,1,3,4,1,0,0,3
1,0,1,2,1,1,4,8,1,1,3,2,1,0,0,5,4,3,3,52,3,2,1,0,6,0,3,0,3,0,3,2,0,4,3,3,4,6,4,3,3,3,3,4,2,0,0,1
6,3,2,2,6,2,7,8,1,2,2,3,2,0,0,5,2,4,1,17,2,2,4,0,7,4,3,4,0,0,7,1,2,5,3,2,1,7,2,4,7,5,3,4,0,0,0,2
7,0,1,2,4,4,2,5,1,2,2,3,1,0,0,3,4,6,3,49,1,2,0,0,3,4,5,3,4,0,2,2,2,5,4,3,2,5,4,2,0,4,3,3,3,0,0,3
8,0,0,4,2,2,3,8,1,2,5,0,1,0,0,5,4,5,1,40,3,0,3,0,7,6,0,6,4,1,4,3,5,4,2,2,4,7,4,4,7,3,3,6,0,0,0,2
5,0,0,3,6,4,4,7,1,2,3,2,1,0,0,4,2,4,3,64,3,1,0,0,5,0,4,0,1,1,8,2,0,3,4,5,3,6,5,0,5,5,3,2,3,1,2,4
5,0,0,2,8,0,2,4,1,2,1,5,1,1,1,2,4,6,3,23,5,0,1,1,3,8,2,6,1,0,8,2,4,4,3,2,2,5,5,4,6,2,3,3,2,0,0,3
6,2,0,1,8,3,0,1,1,1,0,3,1,5,3,0,0,4,5,2,2,1,0,2,1,3,3,3,6,0,8,7,3,1,5,3,5,1,2,0,2,2,3,1,3,2,4,1
8,4,0,2,0,1,3,7,1,2,4,1,2,0,0,4,4,5,3,10,3,2,3,0,5,8,0,6,4,0,8,5,5,5,3,4,1,5,2,0,7,2,3,4,3,1,3,3
5,0,1,2,6,2,1,3,1,2,2,3,2,4,3,2,4,5,1,5,1,0,0,3,4,4,1,4,0,1,7,1,2,4,3,1,5,5,4,4,3,2,3,3,1,0,0,0
6,0,2,1,1,2,1,4,1,3,2,4,3,3,3,3,3,4,3,60,2,0,0,2,4,4,6,3,6,0,8,7,3,3,4,5,0,6,3,0,6,5,3,3,3,1,2,4
0,3,2,1,5,0,0,2,1,2,1,5,1,4,4,1,4,0,0,50,2,2,1,4,5,0,0,1,7,0,7,7,1,6,0,0,3,6,1,4,0,0,3,6,0,0,0,1
8,3,2,1,0,2,1,4,1,2,3,2,1,2,2,3,2,6,4,50,2,2,0,2,5,9,7,6,4,5,4,3,5,6,4,4,5,6,1,1,2,5,3,3,3,1,1,0
3,3,1,1,0,1,1,4,1,3,3,3,2,2,2,3,0,2,3,2,2,1,0,3,5,5,4,4,5,7,3,3,3,2,7,2,5,4,2,2,5,8,3,1,3,0,1,2
2,0,1,1,2,3,3,6,1,1,2,1,1,0,0,4,1,1,2,63,3,0,0,0,4,4,1,4,4,2,2,2,3,4,4,4,2,6,4,2,6,5,3,3,3,0,0,2
3,0,1,1,9,3,7,7,1,3,0,5,3,1,1,5,2,3,1,63,2,0,2,0,5,1,5,0,2,0,8,3,0,4,2,1,1,5,6,4,7,1,3,2,0,0,0,4
3,1,1,1,7,4,3,4,1,2,0,5,2,3,3,3,0,1,4,7,3,1,0,3,5,7,6,5,8,5,3,4,4,4,3,5,2,4,0,0,6,2,3,1,3,2,4,2
1,2,2,1,1,4,2,5,1,1,2,3,1,0,0,3,0,1,3,39,4,2,0,0,3,6,8,3,7,5,5,5,3,5,1,3,2,5,3,2,7,1,3,3,3,0,1,3
0,0,2,0,0,2,1,3,1,2,2,3,1,2,2,2,2,1,4,32,2,0,4,0,1,2,1,2,4,0,2,2,1,4,1,3,5,6,3,2,4,1,3,3,3,0,0,0
8,2,2,2,9,2,5,6,1,2,1,4,2,1,1,4,3,6,4,31,1,1,0,1,6,5,2,5,2,2,5,2,4,5,2,6,5,8,3,2,2,4,3,3,3,0,0,0
3,4,0,2,0,4,5,8,1,2,4,1,2,0,0,5,1,2,4,24,4,2,0,0,6,2,5,1,8,4,5,6,1,5,4,3,3,6,6,3,5,5,3,3,2,0,0,4
0,1,0,0,1,3,1,3,1,2,1,3,2,4,3,2,1,1,1,31,2,0,0,4,6,6,7,4,0,2,7,1,2,6,2,4,2,8,4,4,3,4,3,5,0,0,0,2
0,1,1,1,3,2,1,3,1,1,2,2,1,3,2,2,4,1,0,59,2,1,3,1,2,4,1,4,6,0,4,4,3,4,1,1,4,3,5,2,7,0,3,3,3,0,0,1
7,0,0,2,10,2,4,5,1,3,0,6,2,2,2,3,2,5,4,55,2,1,5,0,3,9,2,6,8,1,6,7,6,5,5,4,3,5,1,0,5,6,3,1,3,1,4,3
6,2,1,2,0,2,2,6,1,3,4,2,2,1,1,4,3,4,2,59,2,0,0,1,6,8,8,5,1,0,8,2,4,3,3,3,4,5,4,2,7,2,3,2,3,0,0,3
5,3,2,2,1,4,7,8,1,3,3,3,1,0,0,5,0,6,5,27,2,2,1,0,6,9,0,6,2,5,7,3,5,1,6,4,2,6,2,1,2,8,3,1,3,0,1,4
2,0,0,0,2,2,1,2,1,2,1,4,1,4,4,1,3,1,2,38,2,0,0,6,6,2,4,1,7,2,2,3,1,4,2,2,2,7,4,4,2,3,3,4,0,0,0,2
2,2,1,1,5,3,2,3,1,1,1,2,0,1,1,2,1,1,3,25,2,2,1,1,3,1,4,1,7,3,8,8,1,3,2,2,1,6,2,4,6,2,3,2,1,0,0,4
3,4,1,2,4,2,3,6,1,1,2,2,1,0,0,4,3,3,1,17,1,1,2,0,4,5,0,6,0,0,8,1,4,5,4,1,0,4,2,3,7,3,3,3,3,0,0,5
3,4,1,1,3,4,5,7,1,2,2,3,1,0,0,4,2,4,3,40,3,2,0,0,5,4,1,4,5,0,8,6,4,5,3,2,4,5,5,4,5,2,3,3,2,0,0,2
5,3,2,2,9,4,4,5,1,2,1,4,2,2,2,3,1,6,4,53,3,2,2,2,6,0,6,0,5,0,8,6,0,4,5,4,2,6,4,2,5,7,3,3,3,0,0,3
3,2,2,1,2,4,5,8,1,2,2,3,1,0,0,5,2,2,3,25,3,0,4,0,6,6,6,4,6,1,8,7,4,3,4,5,5,6,2,0,7,5,3,3,3,1,3,0
6,3,2,2,9,2,3,4,1,3,1,5,2,2,2,3,1,5,3,20,1,0,4,0,2,5,4,4,7,0,8,8,4,3,3,4,3,3,2,0,4,2,3,3,3,2,5,1
6,2,2,2,6,3,0,2,1,3,2,3,2,5,3,1,1,6,3,16,3,2,1,3,3,4,1,4,2,0,8,3,3,8,1,4,1,6,2,2,3,1,3,5,3,0,1,4
7,4,1,2,1,1,3,7,1,1,3,2,0,0,0,4,2,6,4,46,4,1,4,0,5,2,0,3,4,3,6,4,2,5,5,4,1,5,6,0,1,6,3,1,3,1,1,3
8,0,2,1,2,1,3,6,1,1,2,3,1,0,0,4,1,4,4,60,3,1,0,0,4,9,4,6,4,0,4,3,5,3,6,1,2,2,3,1,5,6,3,3,3,0,0,3
1,0,0,2,10,0,0,1,1,1,0,5,0,3,3,0,4,4,2,36,3,0,2,1,1,7,5,6,3,0,8,4,5,4,1,4,4,5,2,0,5,1,3,2,3,1,3,1
2,3,2,0,4,3,1,2,1,2,0,4,1,4,4,1,2,2,1,24,3,0,4,0,0,7,3,6,1,0,4,1,4,3,0,1,0,5,6,4,3,0,3,2,0,0,0,5
4,0,0,2,2,3,3,6,1,1,3,0,1,0,0,4,4,5,3,59,2,0,0,0,4,4,4,3,7,0,8,8,3,5,2,3,2,5,3,2,6,2,3,3,3,0,1,3
7,1,2,2,1,1,2,6,1,2,3,2,1,0,0,4,0,6,4,19,3,0,0,1,6,8,6,6,1,6,4,1,4,3,5,4,1,4,5,0,2,5,3,1,3,1,3,3
5,0,1,2,8,3,0,2,1,2,1,3,2,5,3,1,2,5,3,49,1,2,0,3,3,6,5,5,6,0,6,6,5,6,4,4,0,6,4,2,5,5,3,3,3,0,0,4
5,3,1,2,2,3,7,8,1,2,3,1,1,0,0,5,1,5,4,61,2,0,0,1,8,7,4,6,5,2,8,6,6,4,2,4,1,6,3,2,3,2,3,3,3,0,0,4
8,0,1,2,3,0,2,5,1,1,3,2,1,1,1,3,2,5,3,21,2,1,1,1,4,8,1,6,3,0,8,4,5,7,6,2,2,2,2,0,7,6,3,2,3,1,3,4
2,4,0,0,9,2,1,0,1,1,0,4,0,4,4,0,3,2,2,6,2,0,3,2,1,1,1,1,8,0,4,5,1,4,1,2,5,3,4,2,1,0,3,2,3,0,1,0
5,1,0,3,6,2,4,7,1,3,3,3,2,0,0,4,3,6,3,6,2,0,0,0,5,5,2,5,3,2,8,4,4,4,2,4,2,6,4,2,5,2,3,4,3,0,0,3
7,0,0,2,6,4,7,8,1,2,2,3,1,0,0,5,2,6,3,12,3,2,5,0,6,6,8,3,5,0,5,4,2,3,4,3,2,5,3,2,6,4,3,2,3,0,1,3
7,2,1,2,9,3,4,5,1,2,1,3,1,1,1,3,1,6,5,22,2,0,0,0,3,4,5,3,6,2,8,7,3,5,6,3,5,3,4,0,2,7,3,1,3,1,3,1
5,4,2,2,3,4,4,7,1,2,3,2,1,0,0,4,3,6,4,60,3,2,3,0,5,2,1,2,3,0,8,4,2,3,4,6,5,6,3,0,3,5,3,1,3,2,5,0
3,1,1,1,3,3,0,2,1,2,2,2,2,5,2,1,0,1,4,16,2,0,0,3,4,4,2,4,0,5,8,1,2,6,5,3,4,4,2,1,3,5,3,2,3,1,3,2
1,4,2,1,6,2,5,6,1,2,1,4,2,1,1,4,3,2,3,34,4,2,0,1,6,8,6,6,3,0,8,4,5,0,5,4,3,4,3,0,7,5,3,0,3,1,4,2
1,2,2,1,4,3,2,4,1,1,1,2,1,1,1,2,4,2,2,30,1,2,1,1,4,7,4,6,2,0,8,3,5,1,4,2,4,4,3,2,7,3,3,1,3,0,0,2
7,0,1,2,9,4,4,5,1,2,1,4,2,2,2,3,3,5,2,52,3,1,4,0,3,2,5,1,8,0,8,9,1,4,1,4,3,6,5,2,5,1,3,2,3,0,0,2
4,4,0,2,5,0,1,3,1,2,2,4,1,2,2,2,3,5,3,58,3,0,4,0,1,9,5,6,4,0,4,3,5,4,3,3,3,1,4,0,7,1,3,1,3,2,4,3
0,1,0,1,4,0,0,2,1,0,1,3,0,2,2,1,0,2,4,53,1,1,0,3,3,7,8,4,6,3,3,3,3,4,5,4,0,3,4,0,0,4,3,1,3,2,4,4
6,4,0,4,8,3,7,8,1,4,3,2,2,0,0,5,2,5,4,30,1,0,5,0,7,2,3,2,8,0,8,8,2,2,4,3,0,6,3,2,5,5,3,2,3,0,0,3
6,0,0,2,9,0,2,3,1,3,1,6,1,3,3,2,3,6,3,28,4,2,1,3,5,3,0,4,3,0,8,4,3,4,1,4,2,6,4,2,7,1,3,4,3,0,0,3
1,4,1,2,5,0,1,4,1,0,2,2,0,0,0,2,1,2,1,59,2,1,0,0,2,5,0,6,8,4,7,8,6,3,3,1,1,3,4,2,2,2,3,2,3,0,0,3
3,0,1,1,8,0,1,1,1,0,0,4,0,3,3,0,0,1,4,52,3,2,0,3,3,6,6,4,5,2,7,5,4,5,2,5,4,6,4,0,4,2,3,3,3,1,2,2
5,2,2,2,2,0,2,5,1,2,3,3,0,0,0,3,1,4,4,0,1,1,1,0,3,0,6,0,0,4,8,1,0,2,3,5,0,5,1,0,6,2,3,2,3,2,5,5
1,3,0,2,0,3,7,8,1,1,4,0,0,0,0,5,2,3,4,21,2,1,3,0,7,2,1,2,5,0,8,6,2,6,2,6,0,6,2,0,3,2,3,5,3,2,5,3
5,4,1,2,4,2,3,6,1,2,2,3,1,0,0,4,1,5,3,51,2,2,1,0,4,4,4,3,0,4,5,0,1,4,2,5,2,4,4,0,7,1,3,2,3,2,4,3
